Movie,Review
Batman,"Batman is not a children's spectacle, but once past that obstacle it’s a strange thing, a film that crosses borders. [Full review in Spanish]"
Batman,"Batman, the movie event of the summer, is a psycho thriller posing as an action-adventure movie, a breathtaking ride through a fun-house populated with all-too-believable ghouls, phantoms and tortured souls."
Batman,A groundbreaking comic book adaptation.
Batman,"Like Gotham City, Batman is a little rough at times, but Michael Keaton and Jack Nicholson's wonderfully weird performances (and Tim Burton's unique vision for the DC Universe) mean it deserves to be remembered as a classic."
Batman,"This might have been a great film if someone had bothered to hire a writer capable of creating fresh, intelligent dialogue."
Batman,I found that I really enjoyed the film.
Batman,The theatrical release of Batman celebrates 30 years this year and holds up for being the product of its era with regards to cinematic entertainment.
Batman,"Directed by Tim Burton, the movie has a brooding noir feel."
Batman,I don't get the appeal to be honest.
Batman,"Other than its prescience as a pop cultural milestone, this won't go down as one of the better superhero movies, nor even one of the best in the Batman cinematic canon."
Batman,The new Batman is the most intelligent film ever made from a comic book.
Batman,"Batman is a stunning achievement, especially through the incredible and unique visualization of director Tim Burton."
Batman,"Nicholson isn't only offering a brilliant bit of self-parody here, he's doing it in service to the character"
Batman,"It is, unfortunately, awfully difficult to revisit Tim Burton's Batman with an impartial eye in the wake of Christopher Nolan's genre-defining Dark Knight trilogy..."
Batman,Nicholson's Joker is a villain worthy of a real superhero and Keaton's Batman gets to perform some cinematic superheroics of the first order.
Batman,Highly recommended even for fans who think Batman begins and ends with Nolan's trilogy.
Batman,It's an unforgivably flat ending for a movie of such astonishing contours. But its first two-thirds -- which should be called The Joker's Big Misadventure -- is probably the best film of the year.
Batman,"[Nicholson] has never been more commanding. Not only because he does an outstanding job, but also because so much of the movie's creative energy is devoted to making the Joker one of the most startling movie characters in recent memory."
Batman,"Batman is a winner. It fills the screen with dark, daring dreams. This bat flies."
Batman,"As Robin might have said of this semi-boondoggle: ""Holy overkill!"""
Batman,"The idea of doing a dark, neurotic, highly stylized and highly claustrophobic superproduction is an audacious and appealing one, but director Tim Burton has only made it halfway there."
Batman,"Michael Keaton makes a credible hero, and Jack Nicholson is downright manic as his nemesis."
Batman,"Is it interesting? Fitfully. Is it fun? Not much, Gotham City fans, not much."
Batman,"Even though its standing has diminished in the wake of the countless superhero flicks that emerged in the new millennium, the pros still outweigh the cons."
Batman,"Only minor Burton, with hindsight on our side, and its chief merits and flaws are as one of the formative texts of superhero cinema."
Batman,"While Keaton and Nicholson are dazzling in their roles, Burton never quite finds much to explore with Bruce Wayne, and that's wasted potential."
Batman,This movie is a hot mess.
Batman,"Stylish, violent, and often dull Batman adventure."
Batman,"A dark and refreshing interpretation of one of comic kingdom's most beloved characters, Batman successfully wiped away the memory of the camp 1960s television show and proved that comic book movies can be highly entertaining viewing."
Batman,"The element of surprise appears in every frame of this motion picture, creating a rich sense of joy and mystery that seems to befuddle Burton and his primitive instincts."
Batman,...Batman hasn't gone totally stale.
Batman,"Visually arresting but dramatically undernourished, the film suffers from bland characterization (particularly by Basinger's Vicki and the other ""good"" crime fighters) and is ultimately saved by Jack Nicholson's bravura turn as the diabolical Joker."
Batman,A void of underdeveloped style and halfhearted execution.
Batman,"Supposedly a superhero movie for grown-ups, this is actually a pretentious farrago."
Batman,"It was, however, easily the biggest box-office hit of 1989, and one of the highest grossing films in history, a testament more to its massive marketing campaign than to its quality."
Batman,Director Tim Burton effectively echoes the visual style of the original Bob Kane comics while conjuring up a nightmarish world of his own.
Batman,The conceptual side of the movie--two rather sick two-sided antagonists having it out in a black and sordid context -- lingers.
Batman,Wow. I can't believe how little I enjoyed about this movie after all of these years of NOT having seen it.
Batman,"Burton brings back film noir elements to the new Batman, elevating it to a dark, demented opera."
Batman,"In the end, one's reaction to Burton's blockbuster is little more than that of the Joker to Batman: 'Where did he get those wonderful toys?'"
Batman,"Jack Nicholson provides the colour in this gloomy expressionist world, which has since become a Burton trademark."
Batman,"The story is a mess… Scenes and lines of dialogue make no sense… Keaton makes hardly any impression in the role, in or out of the mask."
Batman,...the yardstick by which all subsequent Batman movies are measured.
Batman,
Batman,A cynical cinematic masterpiece.
Batman,"Despite a handful of good minor performances -- Michael Gough is the definitive Alfred -- and despite some striking bits of music from Prince, it really has nothing of its own to offer."
Batman,That Nicholson could make this homicidal maniac so sympathetic is a testament to his performance.
Batman,"As a movie spectacle, it delivered. As Batman, well...it got a lot of things wrong."
Batman,
Batman,"Uneven in tone, but Keaton's great and the movie just looks like a million bucks."
Batman,
Batman,"Despite its failings...a hugely influential movie with literally towering design, mordant wit, and a hall-of-fame performance by Jack Nicholson."
Batman,
Batman,[It] provides two hours of more than solid entertainment.
Batman,
Batman,
Batman,A dark reinvention of the Batman legend; the only offkey piece is Jack Nicholson's way over the top performance.
Batman,"Good film...it kind of reeks of the '80s now, but it's still dark fun."
Batman,
Batman,
Batman,
Batman,"The wit is all pictorial. The film meanders mindlessly from one image to the next, as does a comic book. It doesn't help that the title character remains such a wimp even when played by Michael Keaton."
Batman,Gloomy and not particularly entertaining
Batman,"Overly dark, broody, and campy. A disservice to the classic TV show and the more serious comic series."
Batman,
Batman,"Tim Burton is a genius when it comes to set design and atmosphere, but he can't film an action sequence to save his life."
Batman,"Langourously paced, but compelling rethinking"
Batman,"There are a lot of things wrong with Batman, but it still makes for decent entertainment in the fine tradition of the typical low-intelligence summer movie."
Batman,A celebration of form over story
Batman,Tim Burton's Batman manages to avoid all the potholes that the Batman story might have strewn in the way of an unwary filmmaker and he manages to avoid them all with aplomb.
Batman,"...a success for several reasons, but most of the credit goes to director Tim Burton's brilliant visual interpretation of a dark, ominous comic book."
Batman,"I guess I did not expect better, but I had hoped for it nonetheless."
Batman,"An exhilarating mix of cartoon lore (though not nearly enough for rabid Batpurists), screen presence (this is pretty much the Jack and Mike Show), psychological murkiness (though it could have used even more) and demented Gothic goofiness."
Batman,"Was it worth the wait? Actually, yes."
Batman,It's just plain fun.
Batman,Nicholson does indeed blow everybody else off the screen. Sometimes it seems this movie should be called Joker instead of Batman.
